"fecha","diaSemana","tipoDia","tipoFestivo","festividad"
2013-01-01,"martes","festivo","Festivo nacional","Año Nuevo"
2013-01-02,"miércoles","laborable","",""
2013-01-03,"jueves","laborable","",""
2013-01-04,"viernes","laborable","",""
2013-01-05,"sábado","sabado","",""
2013-01-06,"domingo","domingo","",""
2013-01-07,"lunes","festivo","Festivo nacional","Traslado Epifania del Señor"
2013-01-08,"martes","laborable","",""
2013-01-09,"miércoles","laborable","",""
2013-01-10,"jueves","laborable","",""
2013-01-11,"viernes","laborable","",""
2013-01-12,"sábado","sabado","",""
2013-01-13,"domingo","domingo","",""
2013-01-14,"lunes","laborable","",""
2013-01-15,"martes","laborable","",""
2013-01-16,"miércoles","laborable","",""
2013-01-17,"jueves","laborable","",""
2013-01-18,"viernes","laborable","",""
2013-01-19,"sábado","sabado","",""
2013-01-20,"domingo","domingo","",""
2013-01-21,"lunes","laborable","",""
2013-01-22,"martes","laborable","",""
2013-01-23,"miércoles","laborable","",""
2013-01-24,"jueves","laborable","",""
2013-01-25,"viernes","laborable","",""
2013-01-26,"sábado","sabado","",""
2013-01-27,"domingo","domingo","",""
2013-01-28,"lunes","laborable","",""
2013-01-29,"martes","laborable","",""
2013-01-30,"miércoles","laborable","",""
2013-01-31,"jueves","laborable","",""
2013-02-01,"viernes","laborable","",""
2013-02-02,"sábado","sabado","",""
2013-02-03,"domingo","domingo","",""
2013-02-04,"lunes","laborable","",""
2013-02-05,"martes","laborable","",""
2013-02-06,"miércoles","laborable","",""
2013-02-07,"jueves","laborable","",""
2013-02-08,"viernes","laborable","",""
2013-02-09,"sábado","sabado","",""
2013-02-10,"domingo","domingo","",""
2013-02-11,"lunes","laborable","",""
2013-02-12,"martes","laborable","",""
2013-02-13,"miércoles","laborable","",""
2013-02-14,"jueves","laborable","",""
2013-02-15,"viernes","laborable","",""
2013-02-16,"sábado","sabado","",""
2013-02-17,"domingo","domingo","",""
2013-02-18,"lunes","laborable","",""
2013-02-19,"martes","laborable","",""
2013-02-20,"miércoles","laborable","",""
2013-02-21,"jueves","laborable","",""
2013-02-22,"viernes","laborable","",""
2013-02-23,"sábado","sabado","",""
2013-02-24,"domingo","domingo","",""
2013-02-25,"lunes","laborable","",""
2013-02-26,"martes","laborable","",""
2013-02-27,"miércoles","laborable","",""
2013-02-28,"jueves","laborable","",""
2013-03-01,"viernes","laborable","",""
2013-03-02,"sábado","sabado","",""
2013-03-03,"domingo","domingo","",""
2013-03-04,"lunes","laborable","",""
2013-03-05,"martes","laborable","",""
2013-03-06,"miércoles","laborable","",""
2013-03-07,"jueves","laborable","",""
2013-03-08,"viernes","laborable","",""
2013-03-09,"sábado","sabado","",""
2013-03-10,"domingo","domingo","",""
2013-03-11,"lunes","laborable","",""
2013-03-12,"martes","laborable","",""
2013-03-13,"miércoles","laborable","",""
2013-03-14,"jueves","laborable","",""
2013-03-15,"viernes","laborable","",""
2013-03-16,"sábado","sabado","",""
2013-03-17,"domingo","domingo","",""
2013-03-18,"lunes","festivo","Festivo de la Comunidad de Madrid","Traslado San Jose"
2013-03-19,"martes","laborable","",""
2013-03-20,"miércoles","laborable","",""
2013-03-21,"jueves","laborable","",""
2013-03-22,"viernes","laborable","",""
2013-03-23,"sábado","sabado","",""
2013-03-24,"domingo","domingo","",""
2013-03-25,"lunes","laborable","",""
2013-03-26,"martes","laborable","",""
2013-03-27,"miércoles","laborable","",""
2013-03-28,"jueves","festivo","Festivo de la Comunidad de Madrid","Jueves Santo"
2013-03-29,"viernes","festivo","Festivo nacional","Viernes Santo"
2013-03-30,"sábado","sabado","",""
2013-03-31,"domingo","domingo","",""
