"altitud","dir","fecha","horaPresMax","horaPresMin","horaRacha","horaTmax","horaTmin","indicativo","nombre","prec","presMax","presMin","provincia","racha","tmax","tmed","tmin","velMedia"
667,27,2013-01-01,"24","05","02:20","15:35","00:00","3195","MADRID, RETIRO",0,945.9,940.2,"MADRID",5.8,9.4,6.4,3.4,1.1
667,2,2013-01-02,"24","00","13:40","13:20","07:30","3195","MADRID, RETIRO",0,950.3,945.9,"MADRID",10.3,10.8,5.8,0.7,0.6
667,8,2013-01-03,"24","00","11:00","15:20","05:50","3195","MADRID, RETIRO",0,959.8,950.3,"MADRID",7.5,10.8,6.8,2.8,0.8
667,5,2013-01-04,"00","18","04:50","15:40","08:55","3195","MADRID, RETIRO",0,959.8,956.7,"MADRID",4.2,10.8,6.2,1.6,0.6
667,22,2013-01-05,"00","18","13:30","16:20","07:15","3195","MADRID, RETIRO",0,956.8,952.9,"MADRID",3.6,10.2,4.9,-0.4,0.6
667,NA,2013-01-06,"00","16",NA,"16:05","07:50","3195","MADRID, RETIRO",0,953,949.6,"MADRID",NA,9.5,5.1,0.7,0.6
667,28,2013-01-07,"11","Varias","14:20","18:20","05:20","3195","MADRID, RETIRO",0,951.3,949.6,"MADRID",3.1,4.8,3.2,1.5,0
667,7,2013-01-08,"11","24","21:30","00:10","23:59","3195","MADRID, RETIRO",0,952.7,950.6,"MADRID",5.8,4.2,2.3,0.4,1.4
667,4,2013-01-09,"00","24","03:00","Varias","00:00","3195","MADRID, RETIRO",0.4,950.6,947.9,"MADRID",6.4,5.6,3,0.4,0.3
667,4,2013-01-10,"00","18","02:50","Varias","03:15","3195","MADRID, RETIRO",0,947.9,945.9,"MADRID",6.4,10.7,7.8,4.8,0.8
667,27,2013-01-11,"09","24","06:50","14:50","06:50","3195","MADRID, RETIRO",0.1,947.3,944.4,"MADRID",4.7,9,7.4,5.8,1.4
667,25,2013-01-12,"00","23","20:00","12:50","23:59","3195","MADRID, RETIRO",2.9,944.4,936.8,"MADRID",13.3,11.4,7.7,4,3.3
