,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,2,2017-06-01,Varias,Varias,16:50,14:50,05:20,3195,"MADRID, RETIRO","0,0","942,8","939,4",MADRID,"7,5","32,1","25,2","18,4","1,7"
1,667,7,2017-06-02,07,17,20:00,13:30,05:50,3195,"MADRID, RETIRO","0,6","941,4","936,9",MADRID,"13,9","32,3","25,2","18,2","1,7"
2,667,2,2017-06-03,Varias,18,21:00,12:00,05:00,3195,"MADRID, RETIRO","0,0","939,8","937,8",MADRID,"11,1","28,6","23,2","17,7","1,4"
3,667,34,2017-06-04,24,15,13:30,11:30,23:59,3195,"MADRID, RETIRO","0,0","941,1","936,3",MADRID,"11,7","27,5","21,4","15,3","3,3"
4,667,34,2017-06-05,07,19,23:40,15:00,04:00,3195,"MADRID, RETIRO","0,0","942,0","937,1",MADRID,"9,7","26,6","19,5","12,4","0,6"
5,667,34,2017-06-06,24,02,01:30,14:00,05:30,3195,"MADRID, RETIRO","0,0","941,0","937,8",MADRID,"9,7","28,6","22,0","15,5","0,8"
6,667,16,2017-06-07,10,17,23:10,14:50,05:40,3195,"MADRID, RETIRO","0,0","944,5","939,6",MADRID,"7,5","31,8","24,4","16,9","1,1"
7,667,23,2017-06-08,01,Varias,15:30,14:30,05:00,3195,"MADRID, RETIRO","0,0","941,0","935,6",MADRID,"6,7","33,8","26,9","20,0","1,9"
8,667,24,2017-06-09,Varias,02,16:20,13:30,05:10,3195,"MADRID, RETIRO","0,0","939,0","937,0",MADRID,"8,9","32,8","26,8","20,8","1,4"
9,667,4,2017-06-10,Varias,18,00:10,14:20,05:50,3195,"MADRID, RETIRO","0,0","941,8","939,0",MADRID,"6,4","35,1","28,0","20,8","0,8"
10,667,12,2017-06-11,08,18,14:20,13:30,06:00,3195,"MADRID, RETIRO","0,0","942,4","937,9",MADRID,"6,4","37,2","30,0","22,8","1,4"
11,667,14,2017-06-12,07,17,22:40,13:50,06:40,3195,"MADRID, RETIRO","0,0","940,9","936,3",MADRID,"8,9","37,0","30,3","23,6","1,9"
12,667,15,2017-06-13,Varias,20,22:10,14:15,04:45,3195,"MADRID, RETIRO","0,0","938,5","935,2",MADRID,"8,6","36,2","29,5","22,8","1,4"
13,667,27,2017-06-14,Varias,00,16:40,14:00,04:00,3195,"MADRID, RETIRO","0,0","940,0","937,0",MADRID,"8,6","37,2","30,4","23,6","2,2"
14,667,12,2017-06-15,22,Varias,19:40,16:00,06:00,3195,"MADRID, RETIRO","0,1","945,1","937,5",MADRID,"16,1","39,0","31,5","24,0","1,9"
15,667,99,2017-06-16,00,17,Varias,14:00,04:40,3195,"MADRID, RETIRO","0,0","945,0","941,0",MADRID,"6,7","37,6","30,3","23,0","1,4"
16,667,4,2017-06-17,06,18,20:30,13:30,05:30,3195,"MADRID, RETIRO","0,0","942,9","937,3",MADRID,"7,8","40,0","32,8","25,5","1,4"
17,667,14,2017-06-18,08,18,21:00,14:20,05:40,3195,"MADRID, RETIRO","0,0","939,2","936,0",MADRID,"13,6","38,6","31,8","25,0","1,1"
18,667,9,2017-06-19,22,Varias,21:40,16:20,22:30,3195,"MADRID, RETIRO","0,5","945,5","935,4",MADRID,"14,2","33,5","27,2","21,0","1,4"
19,667,32,2017-06-20,Varias,18,17:50,16:20,05:50,3195,"MADRID, RETIRO",Ip,"943,6","940,7",MADRID,"12,2","32,8","27,0","21,2","1,9"
20,667,24,2017-06-21,00,11,12:40,14:10,03:50,3195,"MADRID, RETIRO","0,0","942,1","938,9",MADRID,"5,8","36,3","29,0","21,6","1,1"
21,667,22,2017-06-22,11,18,14:10,14:10,Varias,3195,"MADRID, RETIRO","0,0","942,7","940,4",MADRID,"7,8","37,0","30,8","24,5","1,7"
22,667,25,2017-06-23,10,03,11:50,15:00,05:00,3195,"MADRID, RETIRO","0,0","945,2","942,2",MADRID,"9,7","36,2","29,0","21,7","2,2"
23,667,22,2017-06-24,00,17,15:50,14:30,05:15,3195,"MADRID, RETIRO","0,0","943,7","939,6",MADRID,"12,8","36,3","28,9","21,5","2,8"
24,667,36,2017-06-25,00,17,15:00,13:15,23:59,3195,"MADRID, RETIRO","3,4","940,6","935,2",MADRID,"14,7","35,3","27,0","18,8","2,5"
25,667,36,2017-06-26,12,19,13:20,15:30,05:00,3195,"MADRID, RETIRO","0,1","937,6","934,4",MADRID,"9,7","30,7","24,0","17,3","2,8"
26,667,36,2017-06-27,24,17,12:40,14:50,05:30,3195,"MADRID, RETIRO","0,0","935,2","933,0",MADRID,"12,8","29,0","23,8","18,5","3,6"
27,667,23,2017-06-28,Varias,17,13:10,15:20,06:20,3195,"MADRID, RETIRO","0,0","935,2","932,2",MADRID,"15,3","26,0","20,8","15,7","4,7"
28,667,30,2017-06-29,24,02,04:20,14:15,05:30,3195,"MADRID, RETIRO","0,0","937,9","934,6",MADRID,"13,6","23,7","18,2","12,8","3,3"
29,667,33,2017-06-30,24,02,01:10,13:40,05:20,3195,"MADRID, RETIRO","0,0","943,1","937,6",MADRID,"10,0","22,6","16,8","10,9","1,7"
