,altitud,dir,fecha,horapresmax,horapresmin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,25,2018-03-01,,,16:50,14:30,23:59,3195,"MADRID, RETIRO","17,3",,,MADRID,"23,3","11,5","8,4","5,4","4,2"
1,667,22,2018-03-02,,,23:59,23:50,03:30,3195,"MADRID, RETIRO","15,3",,,MADRID,"13,1","8,5","6,4","4,2","1,9"
2,667,26,2018-03-03,,,02:50,12:50,03:40,3195,"MADRID, RETIRO","13,8",,,MADRID,"13,6","13,4","9,4","5,3","3,6"
3,667,17,2018-03-04,,,21:00,13:20,Varias,3195,"MADRID, RETIRO","4,9",,,MADRID,"10,6",13,"9,2","5,4","2,5"
4,667,30,2018-03-05,,,19:00,16:30,06:30,3195,"MADRID, RETIRO","2,1",,,MADRID,"10,6","8,9","7,4","5,8","3,6"
5,667,28,2018-03-06,,,16:20,16:20,Varias,3195,"MADRID, RETIRO",1,,,MADRID,"11,9","10,7","7,4","4,2","3,1"
6,667,23,2018-03-07,,,13:10,13:50,05:10,3195,"MADRID, RETIRO","2,6",,,MADRID,"8,3",11,"6,8","2,5","2,2"
7,667,17,2018-03-08,,,01:10,15:50,05:40,3195,"MADRID, RETIRO",1,,,MADRID,"5,8","10,9","7,7","4,5","1,7"
8,667,16,2018-03-09,,,19:40,12:15,06:40,3195,"MADRID, RETIRO","11,9",,,MADRID,"11,1","11,6","10,5","9,4","3,1"
9,667,23,2018-03-10,,,23:20,07:20,23:59,3195,"MADRID, RETIRO","23,7",,,MADRID,"11,9","11,9","9,7","7,5","2,8"
10,667,28,2018-03-11,,,10:50,12:50,07:30,3195,"MADRID, RETIRO","1,1",,,MADRID,"17,5","10,5","8,2",6,5
11,667,23,2018-03-12,,,00:10,15:10,06:50,3195,"MADRID, RETIRO","1,5",,,MADRID,"13,3","13,2","9,8","6,5","3,9"
12,667,23,2018-03-13,,,13:20,13:10,04:10,3195,"MADRID, RETIRO","0,3",,,MADRID,"9,2",14,"10,3","6,6","2,2"
13,667,20,2018-03-14,,,16:10,16:20,22:40,3195,"MADRID, RETIRO","22,9",,,MADRID,"13,1","13,1","9,8","6,6","3,1"
14,667,99,2018-03-15,,,Varias,14:40,Varias,3195,"MADRID, RETIRO","0,1",,,MADRID,"13,6","11,6","8,9","6,2",5
15,667,36,2018-03-16,,,17:00,13:30,06:30,3195,"MADRID, RETIRO","3,2",,,MADRID,"10,8","11,7","8,2","4,6","3,3"
16,667,36,2018-03-17,,,14:30,14:00,11:00,3195,"MADRID, RETIRO","7,3",,,MADRID,"11,1","9,5","6,2",3,"2,8"
17,667,88,2018-03-18,,,12:30,13:20,06:30,3195,"MADRID, RETIRO",0,,,MADRID,"10,3","12,8","8,4",4,"3,3"
18,667,36,2018-03-19,,,10:50,15:45,23:59,3195,"MADRID, RETIRO","4,2",,,MADRID,"15,6","9,6","6,7","3,8","3,3"
19,667,88,2018-03-20,,,14:10,15:30,07:00,3195,"MADRID, RETIRO",Ip,,,MADRID,"15,8",10,"6,3","2,6","5,3"
20,667,36,2018-03-21,,,15:00,14:10,02:00,3195,"MADRID, RETIRO",0,,,MADRID,"13,6","12,2","7,3","2,4","4,2"
21,667,36,2018-03-22,,,12:40,16:20,06:30,3195,"MADRID, RETIRO",0,,,MADRID,"6,4","13,5","6,6","-0,3","2,2"
22,667,27,2018-03-23,,,23:30,12:50,Varias,3195,"MADRID, RETIRO","3,5",,,MADRID,"15,6","14,2","9,4","4,5","3,1"
23,667,31,2018-03-24,,,12:50,16:10,04:50,3195,"MADRID, RETIRO",0,,,MADRID,"20,3","11,3","7,6",4,"6,1"
24,667,29,2018-03-25,,,01:00,13:30,06:20,3195,"MADRID, RETIRO",0,,,MADRID,"8,9","13,9","9,6","5,2","2,5"
25,667,33,2018-03-26,,,18:10,14:00,06:30,3195,"MADRID, RETIRO",0,,,MADRID,"6,1","15,5","9,6","3,6","1,9"
26,667,27,2018-03-27,,,15:30,14:30,01:30,3195,"MADRID, RETIRO",0,,,MADRID,"9,7","20,6","14,6","8,5","1,9"
27,667,26,2018-03-28,,,17:30,14:20,06:30,3195,"MADRID, RETIRO",0,,,MADRID,"12,2","20,8",15,"9,2","3,3"
28,667,26,2018-03-29,,,18:30,14:40,23:59,3195,"MADRID, RETIRO","0,8",,,MADRID,"14,7","15,8","12,2","8,5","4,2"
29,667,25,2018-03-30,,,18:20,15:30,23:59,3195,"MADRID, RETIRO","2,2",,,MADRID,"17,5","11,7","7,8",4,"4,2"
30,667,26,2018-03-31,,,13:30,14:20,04:30,3195,"MADRID, RETIRO",0,,,MADRID,"12,2","14,5","8,8","3,2","2,8"
