"c";"k";"activation";"batch_size";"filters";"epochs";"rmse"
8;1;"softmax";1;1;1;0,155676002148923
8;1;"softmax";1;1;5;0,155675957947713
8;1;"softmax";1;1;10;0,155676061083931
8;1;"softmax";1;8;1;0,16205288751196
8;1;"softmax";1;8;5;0,131943320462182
8;1;"softmax";1;8;10;0,117574013556801
8;1;"softmax";1;16;1;0,160063556216354
8;1;"softmax";1;16;5;0,141260464606343
8;1;"softmax";1;16;10;0,116705637069353
8;1;"softmax";1;32;1;0,158451327677813
8;1;"softmax";1;32;5;0,148168109650011
8;1;"softmax";1;32;10;0,116441841224301
8;1;"softmax";1;64;1;0,157948410544876
8;1;"softmax";1;64;5;0,150360296563559
8;1;"softmax";1;64;10;0,117782576471164
8;1;"softmax";7;1;1;0,357337728618937
8;1;"softmax";7;1;5;0,146455428929508
8;1;"softmax";7;1;10;0,146455440335353
8;1;"softmax";7;8;1;0,147930339317913
8;1;"softmax";7;8;5;0,146881127262447
8;1;"softmax";7;8;10;0,140655200925086
8;1;"softmax";7;16;1;0,145917605160158
8;1;"softmax";7;16;5;0,147077269304232
8;1;"softmax";7;16;10;0,144452288370182
8;1;"softmax";7;32;1;0,147053889042346
8;1;"softmax";7;32;5;0,147105537727421
8;1;"softmax";7;32;10;0,145299345645846
8;1;"softmax";7;64;1;0,1456620992638
8;1;"softmax";7;64;5;0,147079617967852
8;1;"softmax";7;64;10;0,146195291437039
8;1;"softmax";30;1;1;1,73190409536497
8;1;"softmax";30;1;5;0,141557596041947
8;1;"softmax";30;1;10;0,142845003237089
8;1;"softmax";30;8;1;0,177208766781637
8;1;"softmax";30;8;5;0,142865126834772
8;1;"softmax";30;8;10;0,141921303101835
8;1;"softmax";30;16;1;0,149387373465446
8;1;"softmax";30;16;5;0,143100579433452
8;1;"softmax";30;16;10;0,142716762173859
8;1;"softmax";30;32;1;0,222238378905647
8;1;"softmax";30;32;5;0,142989294810715
8;1;"softmax";30;32;10;0,143001430448746
8;1;"softmax";30;64;1;0,199729292060901
8;1;"softmax";30;64;5;0,142960948079908
8;1;"softmax";30;64;10;0,142969013089001
8;1;"relu";1;1;1;0,124416613095743
8;1;"relu";1;1;5;0,148911805454552
8;1;"relu";1;1;10;0,148911805454552
8;1;"relu";1;8;1;0,12439655162641
8;1;"relu";1;8;5;0,117450525704369
8;1;"relu";1;8;10;0,115076726546537
8;1;"relu";1;16;1;0,127199995931386
8;1;"relu";1;16;5;0,121141026743667
8;1;"relu";1;16;10;0,12494812657635
8;1;"relu";1;32;1;0,124897844648764
8;1;"relu";1;32;5;0,129927162464646
8;1;"relu";1;32;10;0,131001362061303
