"c";"k";"activation";"batch_size";"units";"epochs";"rmse"
8;1;"softmax";1;1;1;0,15083967069992
8;1;"softmax";1;1;5;0,153876648265697
8;1;"softmax";1;1;10;0,151568121453501
8;1;"softmax";1;8;1;0,156365919930431
8;1;"softmax";1;8;5;0,151742660733542
8;1;"softmax";1;8;10;0,141069125278274
8;1;"softmax";1;16;1;0,1541990161077
8;1;"softmax";1;16;5;0,154598080024027
8;1;"softmax";1;16;10;0,147365987878742
8;1;"softmax";1;32;1;0,153502590599022
8;1;"softmax";1;32;5;0,153798937174799
8;1;"softmax";1;32;10;0,154167037899515
8;1;"softmax";1;64;1;0,153111849414907
8;1;"softmax";1;64;5;0,153472946092197
8;1;"softmax";1;64;10;0,153684729552514
8;1;"softmax";7;1;1;0,162959875243566
8;1;"softmax";7;1;5;0,145920086347315
8;1;"softmax";7;1;10;0,144906057324171
8;1;"softmax";7;8;1;0,140895607602156
8;1;"softmax";7;8;5;0,146518132096973
8;1;"softmax";7;8;10;0,146740834107605
8;1;"softmax";7;16;1;0,137681712472491
8;1;"softmax";7;16;5;0,145714568199354
8;1;"softmax";7;16;10;0,145745486741467
8;1;"softmax";7;32;1;0,137686740340669
8;1;"softmax";7;32;5;0,145361757477965
8;1;"softmax";7;32;10;0,145343984331911
8;1;"softmax";7;64;1;0,136962990055027
8;1;"softmax";7;64;5;0,145136101274826
8;1;"softmax";7;64;10;0,145157748335677
8;1;"softmax";30;1;1;1,00345001833068
8;1;"softmax";30;1;5;0,182732145654143
8;1;"softmax";30;1;10;0,142800633103582
8;1;"softmax";30;8;1;0,310954738795739
8;1;"softmax";30;8;5;0,142575862088586
8;1;"softmax";30;8;10;0,142960659733136
8;1;"softmax";30;16;1;0,236527355174725
8;1;"softmax";30;16;5;0,14206827355928
8;1;"softmax";30;16;10;0,142625749391478
8;1;"softmax";30;32;1;0,235772937592963
8;1;"softmax";30;32;5;0,141018988968389
8;1;"softmax";30;32;10;0,142539596553603
8;1;"softmax";30;64;1;0,224704781933435
8;1;"softmax";30;64;5;0,140277522848699
8;1;"softmax";30;64;10;0,142490901213546
8;1;"relu";1;1;1;0,148908235642938
8;1;"relu";1;1;5;0,148911805454552
8;1;"relu";1;1;10;0,148911805454552
8;1;"relu";1;8;1;266624,271878228
8;1;"relu";1;8;5;NA
8;1;"relu";1;8;10;NA
8;1;"relu";1;16;1;NA
8;1;"relu";1;16;5;NA
8;1;"relu";1;16;10;NA
8;1;"relu";1;32;1;NA
8;1;"relu";1;32;5;NA
8;1;"relu";1;32;10;1412168071641899008
8;1;"relu";1;64;1;NA
8;1;"relu";1;64;5;NA
8;1;"relu";1;64;10;NA
8;1;"relu";7;1;1;0,144272070186682
8;1;"relu";7;1;5;0,142703461489192
8;1;"relu";7;1;10;0,142708965272449
8;1;"relu";7;8;1;0,183515079321542
8;1;"relu";7;8;5;0,183632992588408
8;1;"relu";7;8;10;NA
