"c";"k";"o";"batch_size";"units";"epochs";"rmse"
8;1;1;1;1;1;0,164776273410077
8;1;1;1;1;5;0,120433243233979
8;1;1;1;1;10;0,113081075804976
8;1;1;1;8;1;0,230304273822266
8;1;1;1;8;5;0,15232183511978
8;1;1;1;8;10;0,144677248995599
8;1;1;1;16;1;0,190655487326506
8;1;1;1;16;5;0,167590932134102
8;1;1;1;16;10;0,172851129032934
8;1;1;1;32;1;0,189078524063301
8;1;1;1;32;5;0,131090604300026
8;1;1;1;32;10;0,160019445391422
8;1;1;7;1;1;0,15162385830903
8;1;1;7;1;5;0,149407861434658
8;1;1;7;1;10;0,148409708642297
8;1;1;7;8;1;0,189281876051823
8;1;1;7;8;5;0,160536803439915
8;1;1;7;8;10;0,150474954904564
8;1;1;7;16;1;0,23830131823504
8;1;1;7;16;5;0,166374600610582
8;1;1;7;16;10;0,167483472156739
8;1;1;7;32;1;0,30814202674377
8;1;1;7;32;5;0,180079379620925
8;1;1;7;32;10;0,155668429657232
8;1;1;30;1;1;0,205166358034418
8;1;1;30;1;5;0,145680462312508
8;1;1;30;1;10;0,143964157787382
8;1;1;30;8;1;0,141846530679734
8;1;1;30;8;5;0,140905072294902
8;1;1;30;8;10;0,13775081084212
8;1;1;30;16;1;0,138047192559349
8;1;1;30;16;5;0,138539204518947
8;1;1;30;16;10;0,137573008081395
8;1;1;30;32;1;0,138325859066583
8;1;1;30;32;5;0,138394236362708
8;1;1;30;32;10;0,127485916533338
8;1;3;1;1;1;0,162762738505051
8;1;3;1;1;5;0,135655474770472
8;1;3;1;1;10;0,162699596696936
8;1;3;1;8;1;0,223996672805707
8;1;3;1;8;5;0,171443258596325
8;1;3;1;8;10;0,173591125889413
8;1;3;1;16;1;0,278792927833357
8;1;3;1;16;5;0,256777250748391
8;1;3;1;16;10;0,259005023397314
8;1;3;1;32;1;0,296284230473282
8;1;3;1;32;5;0,298463915956814
8;1;3;1;32;10;0,21509487197483
8;1;3;7;1;1;0,151212011353598
8;1;3;7;1;5;0,14742965700564
8;1;3;7;1;10;0,144494751355731
8;1;3;7;8;1;0,205585748490975
8;1;3;7;8;5;0,155090566462468
8;1;3;7;8;10;0,150651557841546
8;1;3;7;16;1;0,223508038448085
8;1;3;7;16;5;0,180623684591123
8;1;3;7;16;10;0,152819227320192
8;1;3;7;32;1;0,300447077262752
8;1;3;7;32;5;0,187717833460649
8;1;3;7;32;10;0,179300203362741
8;1;3;30;1;1;0,239114694611121
8;1;3;30;1;5;0,140492855029581
8;1;3;30;1;10;0,142899041398279
8;1;3;30;8;1;0,143870755469717
8;1;3;30;8;5;0,144501332926298
8;1;3;30;8;10;0,142452655884433
8;1;3;30;16;1;0,137813422365391
8;1;3;30;16;5;0,140151289862034
8;1;3;30;16;10;0,139050146007134
8;1;3;30;32;1;0,137304450672505
8;1;3;30;32;5;0,141750331131712
8;1;3;30;32;10;0,139031615338078
8;1;5;1;1;1;0,182710627706968
8;1;5;1;1;5;0,138842852412828
8;1;5;1;1;10;0,134882350383611
8;1;5;1;8;1;0,254741114513848
8;1;5;1;8;5;0,19444669607531
8;1;5;1;8;10;0,250114624495013
8;1;5;1;16;1;0,299283029232541
8;1;5;1;16;5;0,267933520088276
8;1;5;1;16;10;0,279045635976853
8;1;5;1;32;1;0,302656368232979
8;1;5;1;32;5;0,272283825275056
8;1;5;1;32;10;0,289586316277407
8;1;5;7;1;1;0,142582776929257
8;1;5;7;1;5;0,146161819250501
8;1;5;7;1;10;0,144682834355078
8;1;5;7;8;1;0,177510348570383
8;1;5;7;8;5;0,160649420931783
8;1;5;7;8;10;0,131412650590152
8;1;5;7;16;1;0,234832660233446
8;1;5;7;16;5;0,18605352222358
8;1;5;7;16;10;0,15641473784161
8;1;5;7;32;1;0,302252809059695
8;1;5;7;32;5;0,192309102841133
8;1;5;7;32;10;0,159081296035156
8;1;5;30;1;1;0,23250016646671
8;1;5;30;1;5;0,140590164977014
8;1;5;30;1;10;0,144368589110643
8;1;5;30;8;1;0,152211191269831
8;1;5;30;8;5;0,144304426893281
8;1;5;30;8;10;0,144386104975324
8;1;5;30;16;1;0,13808370884075
8;1;5;30;16;5;0,142150825981786
8;1;5;30;16;10;0,138705091169708
8;1;5;30;32;1;0,137457647850031
8;1;5;30;32;5;0,139715903273482
8;1;5;30;32;10;0,143896335842295
8;2;1;1;1;1;0,140432193629256
8;2;1;1;1;5;0,121027033995803
8;2;1;1;1;10;0,116721440418626
8;2;1;1;8;1;0,161754975573128
8;2;1;1;8;5;0,15310446938125
8;2;1;1;8;10;0,267914113034138
8;2;1;1;16;1;0,20334637520164
8;2;1;1;16;5;0,180702774750016
8;2;1;1;16;10;0,159952327471602
8;2;1;1;32;1;0,19814864635956
8;2;1;1;32;5;0,174995284355994
8;2;1;1;32;10;0,266805155812445
8;2;1;7;1;1;0,140290911380093
8;2;1;7;1;5;0,151984568900539
8;2;1;7;1;10;0,127176759023468
8;2;1;7;8;1;0,173692095538621
8;2;1;7;8;5;0,127300968840994
8;2;1;7;8;10;0,137796967328945
8;2;1;7;16;1;0,225208827690618
8;2;1;7;16;5;0,145767995015001
8;2;1;7;16;10;0,15123966475861
8;2;1;7;32;1;0,26952951340974
8;2;1;7;32;5;0,163540530345686
8;2;1;7;32;10;0,169592846253096
