"c";"k";"batch_size";"units";"epochs";"rmse"
8;1;1;1;1;0,17218353147425
8;1;1;1;5;0,123024457516658
8;1;1;1;10;0,114490003020955
8;1;1;8;1;0,201354066081695
8;1;1;8;5;0,132740632463686
8;1;1;8;10;0,131283005449752
8;1;1;16;1;0,219804609450586
8;1;1;16;5;0,129908024485805
8;1;1;16;10;0,130483565270785
8;1;1;32;1;0,239664719138877
8;1;1;32;5;0,140782634675685
8;1;1;32;10;0,123315033439625
8;1;1;64;1;0,192364316247693
8;1;1;64;5;0,137482567847118
8;1;1;64;10;0,117113148496065
8;1;7;1;1;0,14854775034197
8;1;7;1;5;0,147170008370658
8;1;7;1;10;0,138359506253014
8;1;7;8;1;0,132320152655542
8;1;7;8;5;0,125771437358472
8;1;7;8;10;0,108910968717588
8;1;7;16;1;0,1316311926629
8;1;7;16;5;0,114289252729983
8;1;7;16;10;0,109403872435026
8;1;7;32;1;0,134049462184091
8;1;7;32;5;0,109817276191292
8;1;7;32;10;0,111714448102136
8;1;7;64;1;0,133172242222735
8;1;7;64;5;0,111065509924982
8;1;7;64;10;0,111356914600184
8;1;30;1;1;0,217205275220991
8;1;30;1;5;0,140985479821679
8;1;30;1;10;0,141590580980857
8;1;30;8;1;0,157946729082462
8;1;30;8;5;0,162191843827632
8;1;30;8;10;0,150064482894335
8;1;30;16;1;0,152158048588181
8;1;30;16;5;0,153873108913332
8;1;30;16;10;0,113460233372773
8;1;30;32;1;0,229792857796532
8;1;30;32;5;0,137401962277285
8;1;30;32;10;0,112116889563748
8;1;30;64;1;0,254023552687659
8;1;30;64;5;0,13979367394423
8;1;30;64;10;0,114979005461678
8;2;1;1;1;0,152226839152379
8;2;1;1;5;0,133851090652945
8;2;1;1;10;0,111686362857042
8;2;1;8;1;0,182037181115094
8;2;1;8;5;0,119750523435695
8;2;1;8;10;0,124659410229855
8;2;1;16;1;0,194966236843532
8;2;1;16;5;0,138129474903986
8;2;1;16;10;0,122925011668646
8;2;1;32;1;0,20884497762633
8;2;1;32;5;0,122579331824175
8;2;1;32;10;0,116309834576045
8;2;1;64;1;0,205362199151786
8;2;1;64;5;0,139064941566295
8;2;1;64;10;0,121455749396903
8;2;7;1;1;0,138441255531705
8;2;7;1;5;0,124413167056467
8;2;7;1;10;0,128284044328833
8;2;7;8;1;0,126751406094147
8;2;7;8;5;0,109195799515053
8;2;7;8;10;0,105676988905475
8;2;7;16;1;0,134576698443994
8;2;7;16;5;0,120090219094427
8;2;7;16;10;0,107114955560115
8;2;7;32;1;0,135801952097577
8;2;7;32;5;0,118476304702539
8;2;7;32;10;0,107269323725948
8;2;7;64;1;0,140153043544859
8;2;7;64;5;0,108583764565612
8;2;7;64;10;0,109093442302274
8;2;30;1;1;0,185269663115252
8;2;30;1;5;0,141351982971279
8;2;30;1;10;0,14157465860867
8;2;30;8;1;0,143076814798191
8;2;30;8;5;0,160146785771791
8;2;30;8;10;0,133884412853156
8;2;30;16;1;0,141871346459417
8;2;30;16;5;0,153468637495202
8;2;30;16;10;0,108044763735191
8;2;30;32;1;0,230904972516915
8;2;30;32;5;0,147110233352673
8;2;30;32;10;0,109791489259491
8;2;30;64;1;0,146695994310316
8;2;30;64;5;0,138741031009986
8;2;30;64;10;0,110128728562789
8;3;1;1;1;0,165375391467102
8;3;1;1;5;0,116950471444711
8;3;1;1;10;0,110579828873959
8;3;1;8;1;0,163464235044788
8;3;1;8;5;0,131614929104302
8;3;1;8;10;0,120365326504142
8;3;1;16;1;0,20299998693172
8;3;1;16;5;0,132681261174703
8;3;1;16;10;0,12435693294691
8;3;1;32;1;0,204613029804357
8;3;1;32;5;0,115755063494752
8;3;1;32;10;0,129232137885089
8;3;1;64;1;0,22141029902501
8;3;1;64;5;0,125086538401456
8;3;1;64;10;0,125685947060112
8;3;7;1;1;0,148564468721171
8;3;7;1;5;0,13607901075736
8;3;7;1;10;0,140489725876128
8;3;7;8;1;0,126622261649136
8;3;7;8;5;0,111712479049732
8;3;7;8;10;0,106475139403053
8;3;7;16;1;0,12795335388303
8;3;7;16;5;0,104646496106258
8;3;7;16;10;0,107366750378071
8;3;7;32;1;0,13132907323609
8;3;7;32;5;0,107892294068099
8;3;7;32;10;0,111240125283628
8;3;7;64;1;0,130718978189497
8;3;7;64;5;0,120002397039388
8;3;7;64;10;0,112525075994816
8;3;30;1;1;0,208133827828294
8;3;30;1;5;0,140185609665002
8;3;30;1;10;0,141325695882821
8;3;30;8;1;0,159921234340057
8;3;30;8;5;0,156158744263184
8;3;30;8;10;0,137572083947671
8;3;30;16;1;0,15114119120752
8;3;30;16;5;0,153123615948054
8;3;30;16;10;0,111171314531474
8;3;30;32;1;0,208581743731229
8;3;30;32;5;0,141351686713044
8;3;30;32;10;0,118125251253152
8;3;30;64;1;0,141840245743232
8;3;30;64;5;0,144644826668597
8;3;30;64;10;0,111155348426012
