"c";"k";"activation";"batch_size";"units";"epochs";"rmse"
8;1;"softmax";1;1;1;0,151107719425668
8;1;"softmax";1;1;5;0,154497682104026
8;1;"softmax";1;1;10;0,154506541516814
8;1;"softmax";1;8;1;0,156420827287413
8;1;"softmax";1;8;5;0,1249755288383
8;1;"softmax";1;8;10;0,117597689453614
8;1;"softmax";1;16;1;0,158425776148669
8;1;"softmax";1;16;5;0,128868787204397
8;1;"softmax";1;16;10;0,117661812591122
8;1;"softmax";1;32;1;0,157577187447912
8;1;"softmax";1;32;5;0,132828848992513
8;1;"softmax";1;32;10;0,116087612227902
8;1;"softmax";1;64;1;0,156238926248455
8;1;"softmax";1;64;5;0,149708242766077
8;1;"softmax";1;64;10;0,115759519292555
8;1;"softmax";7;1;1;0,144821856088721
8;1;"softmax";7;1;5;0,145213945932518
8;1;"softmax";7;1;10;0,14271048127592
8;1;"softmax";7;8;1;0,135349240077355
8;1;"softmax";7;8;5;0,146673644633233
8;1;"softmax";7;8;10;0,144832476153749
8;1;"softmax";7;16;1;0,143425549875467
8;1;"softmax";7;16;5;0,146188041342324
8;1;"softmax";7;16;10;0,145839326597364
8;1;"softmax";7;32;1;0,141583051170827
8;1;"softmax";7;32;5;0,145806072621658
8;1;"softmax";7;32;10;0,145871675428463
8;1;"softmax";7;64;1;0,138821247718924
8;1;"softmax";7;64;5;0,145648731303955
8;1;"softmax";7;64;10;0,145941686361856
8;1;"softmax";30;1;1;1,17715739555114
8;1;"softmax";30;1;5;0,497908736306289
8;1;"softmax";30;1;10;0,283540688720028
8;1;"softmax";30;8;1;0,137604080073445
8;1;"softmax";30;8;5;0,14184564570277
8;1;"softmax";30;8;10;0,141111824489348
8;1;"softmax";30;16;1;0,136690670463971
8;1;"softmax";30;16;5;0,139797976269499
8;1;"softmax";30;16;10;0,1416629376006
8;1;"softmax";30;32;1;0,206282644494025
8;1;"softmax";30;32;5;0,139867138423734
8;1;"softmax";30;32;10;0,141367487988026
8;1;"softmax";30;64;1;0,194039463261518
8;1;"softmax";30;64;5;0,140495766124789
8;1;"softmax";30;64;10;0,141344650238249
8;1;"relu";1;1;1;0,132614275090864
8;1;"relu";1;1;5;0,120487418149333
8;1;"relu";1;1;10;0,149652472134513
8;1;"relu";1;8;1;0,136998754933816
8;1;"relu";1;8;5;0,127077975238232
8;1;"relu";1;8;10;0,125263309639134
8;1;"relu";1;16;1;0,142062266039626
8;1;"relu";1;16;5;0,135126181721595
8;1;"relu";1;16;10;0,13117020142375
8;1;"relu";1;32;1;0,152183990191757
8;1;"relu";1;32;5;0,137877391731475
8;1;"relu";1;32;10;0,128870085449103
8;1;"relu";1;64;1;0,150672358015529
8;1;"relu";1;64;5;0,142431727066036
8;1;"relu";1;64;10;0,132483993025245
8;1;"relu";7;1;1;0,156345108551842
8;1;"relu";7;1;5;0,141994881357242
8;1;"relu";7;1;10;0,142383954011767
8;1;"relu";7;8;1;0,122172112011252
8;1;"relu";7;8;5;0,1083559228061
8;1;"relu";7;8;10;0,108105606877314
8;1;"relu";7;16;1;0,118443526080164
8;1;"relu";7;16;5;0,108185736158402
8;1;"relu";7;16;10;0,108371920850682
8;1;"relu";7;32;1;0,109838629447432
8;1;"relu";7;32;5;0,109599913731041
8;1;"relu";7;32;10;0,109120417901556
8;1;"relu";7;64;1;0,112131843018059
8;1;"relu";7;64;5;0,11138209162413
8;1;"relu";7;64;10;0,110507096828709
8;1;"relu";30;1;1;0,255658300171666
8;1;"relu";30;1;5;0,147860731533383
8;1;"relu";30;1;10;0,138095391663179
8;1;"relu";30;8;1;0,112692699615678
8;1;"relu";30;8;5;0,112531066795679
8;1;"relu";30;8;10;0,112518773095823
8;1;"relu";30;16;1;0,12606371269929
8;1;"relu";30;16;5;0,11162392935243
8;1;"relu";30;16;10;0,110709009845584
8;1;"relu";30;32;1;0,113513727556513
8;1;"relu";30;32;5;0,110207351289197
8;1;"relu";30;32;10;0,109754677661955
8;1;"relu";30;64;1;0,110771659351925
8;1;"relu";30;64;5;0,108805925575402
8;1;"relu";30;64;10;0,109090796283887
8;1;"tanh";1;1;1;0,146241434737882
8;1;"tanh";1;1;5;0,122795469523789
8;1;"tanh";1;1;10;0,120235616627468
8;1;"tanh";1;8;1;0,151965329455265
8;1;"tanh";1;8;5;0,139023812611484
8;1;"tanh";1;8;10;0,131047597142295
8;1;"tanh";1;16;1;0,160341134070121
8;1;"tanh";1;16;5;0,140420077646876
8;1;"tanh";1;16;10;0,137825401662589
8;1;"tanh";1;32;1;0,161110407898316
8;1;"tanh";1;32;5;0,14882792073465
8;1;"tanh";1;32;10;0,143627495220839
8;1;"tanh";1;64;1;0,168087378804041
8;1;"tanh";1;64;5;0,156691729882372
8;1;"tanh";1;64;10;0,14753079371727
8;1;"tanh";7;1;1;0,141173720058042
8;1;"tanh";7;1;5;0,108673586567113
8;1;"tanh";7;1;10;0,143733808518396
8;1;"tanh";7;8;1;0,11481939084044
8;1;"tanh";7;8;5;0,108702046906631
8;1;"tanh";7;8;10;0,10976516975307
8;1;"tanh";7;16;1;0,110599271048684
8;1;"tanh";7;16;5;0,111074949625647
8;1;"tanh";7;16;10;0,111314109242784
8;1;"tanh";7;32;1;0,112348963910325
8;1;"tanh";7;32;5;0,111554047809572
8;1;"tanh";7;32;10;0,112070273781169
8;1;"tanh";7;64;1;0,112340697696906
8;1;"tanh";7;64;5;0,112624734679475
8;1;"tanh";7;64;10;0,112477829409486
8;1;"tanh";30;1;1;0,114852030241527
8;1;"tanh";30;1;5;0,141420350739851
8;1;"tanh";30;1;10;0,203988444844855
8;1;"tanh";30;8;1;0,120384331607292
8;1;"tanh";30;8;5;0,111936830204985
8;1;"tanh";30;8;10;0,109849740706024
8;1;"tanh";30;16;1;0,116464467029466
8;1;"tanh";30;16;5;0,108897441489931
8;1;"tanh";30;16;10;0,108682451643394
8;1;"tanh";30;32;1;0,115257869904322
8;1;"tanh";30;32;5;0,108585189876421
8;1;"tanh";30;32;10;0,108905450265061
8;1;"tanh";30;64;1;0,111474105513511
8;1;"tanh";30;64;5;0,11047578645359
8;1;"tanh";30;64;10;0,110054309716881
8;2;"softmax";1;1;1;0,154156171131805
8;2;"softmax";1;1;5;0,154484223602286
8;2;"softmax";1;1;10;0,154506599050937
8;2;"softmax";1;8;1;0,15873165828333
8;2;"softmax";1;8;5;0,111976536440484
8;2;"softmax";1;8;10;0,110869892440178
8;2;"softmax";1;16;1;0,157785849751036
8;2;"softmax";1;16;5;0,109755090074593
8;2;"softmax";1;16;10;0,111353080870007
8;2;"softmax";1;32;1;0,156820197166536
8;2;"softmax";1;32;5;0,107273776287981
8;2;"softmax";1;32;10;0,108200230842183
8;2;"softmax";1;64;1;0,156109560257664
8;2;"softmax";1;64;5;0,108641878369442
8;2;"softmax";1;64;10;0,107544263551378
8;2;"softmax";7;1;1;1,19343089258232
8;2;"softmax";7;1;5;0,144487775531018
8;2;"softmax";7;1;10;0,141646528884601
8;2;"softmax";7;8;1;0,136337181512855
8;2;"softmax";7;8;5;0,142769080692784
8;2;"softmax";7;8;10;0,120948822423402
8;2;"softmax";7;16;1;0,143096146344713
8;2;"softmax";7;16;5;0,145726832954481
8;2;"softmax";7;16;10;0,13114950821752
8;2;"softmax";7;32;1;0,143425784791022
8;2;"softmax";7;32;5;0,145720040913499
8;2;"softmax";7;32;10;0,138373714936802
8;2;"softmax";7;64;1;0,137757689289324
8;2;"softmax";7;64;5;0,145568640980987
8;2;"softmax";7;64;10;0,144656411938255
8;2;"softmax";30;1;1;1,62673922806037
8;2;"softmax";30;1;5;0,194696541629524
8;2;"softmax";30;1;10;0,141327501586686
8;2;"softmax";30;8;1;0,158983793561831
8;2;"softmax";30;8;5;0,14166844567906
8;2;"softmax";30;8;10;0,140927367772852
8;2;"softmax";30;16;1;0,145225702854258
8;2;"softmax";30;16;5;0,139718466803109
8;2;"softmax";30;16;10;0,141324598707697
8;2;"softmax";30;32;1;0,170187994430666
8;2;"softmax";30;32;5;0,140323972746247
8;2;"softmax";30;32;10;0,141345050123777
8;2;"softmax";30;64;1;0,207783183226901
8;2;"softmax";30;64;5;0,139153716067445
8;2;"softmax";30;64;10;0,141412249482223
8;2;"relu";1;1;1;0,149392706842479
8;2;"relu";1;1;5;0,149652319412695
8;2;"relu";1;1;10;0,149652472134513
8;2;"relu";1;8;1;0,194847566790046
8;2;"relu";1;8;5;0,130431377061934
8;2;"relu";1;8;10;0,123832828926127
8;2;"relu";1;16;1;0,157271750484965
8;2;"relu";1;16;5;0,133816095363932
8;2;"relu";1;16;10;0,129891980785101
8;2;"relu";1;32;1;0,149073595065524
8;2;"relu";1;32;5;0,142931406786333
8;2;"relu";1;32;10;0,134623931390742
8;2;"relu";1;64;1;0,155378465739603
8;2;"relu";1;64;5;0,143339027699376
8;2;"relu";1;64;10;0,135374050398149
8;2;"relu";7;1;1;0,156345108551842
8;2;"relu";7;1;5;0,141994881357242
8;2;"relu";7;1;10;0,142384668588575
8;2;"relu";7;8;1;0,110755233277196
8;2;"relu";7;8;5;0,109008231782417
8;2;"relu";7;8;10;0,104857972035275
8;2;"relu";7;16;1;0,114698750072561
8;2;"relu";7;16;5;0,103216056425497
8;2;"relu";7;16;10;0,10556384825822
8;2;"relu";7;32;1;0,114585904492962
8;2;"relu";7;32;5;0,105162533189818
8;2;"relu";7;32;10;0,103175784610055
8;2;"relu";7;64;1;0,107692372694061
8;2;"relu";7;64;5;0,104285716962786
8;2;"relu";7;64;10;0,105191942103113
8;2;"relu";30;1;1;0,255658300171666
8;2;"relu";30;1;5;0,147860731533383
