"c";"k";"batch_size";"units";"epochs";"rmse"
8;1;1;1;1;0,143615465008459
8;1;1;1;5;0,117670881424488
8;1;1;1;10;0,126162730479463
8;1;1;8;1;0,135137011008967
8;1;1;8;5;0,13729763942042
8;1;1;8;10;0,137106919664628
8;1;1;16;1;0,137758332977813
8;1;1;16;5;0,13550943189911
8;1;1;16;10;0,133936321441843
8;1;1;32;1;0,140358971378598
8;1;1;32;5;0,141853275913975
8;1;1;32;10;0,139381823753177
8;1;1;64;1;0,147441021806966
8;1;1;64;5;0,147147033113562
8;1;1;64;10;0,140116052609821
8;1;7;1;1;0,118096942958542
8;1;7;1;5;0,118268005608038
8;1;7;1;10;0,120149039469389
8;1;7;8;1;0,134275866700351
8;1;7;8;5;0,132664903131519
8;1;7;8;10;0,130206154236209
8;1;7;16;1;0,157561249626028
8;1;7;16;5;0,148729499083739
8;1;7;16;10;0,143968462628775
8;1;7;32;1;0,17917248991514
8;1;7;32;5;0,156601054771227
8;1;7;32;10;0,151654462195853
8;1;7;64;1;0,191264356968692
8;1;7;64;5;0,172262010101106
8;1;7;64;10;0,165920864564461
8;1;30;1;1;0,288912625963372
8;1;30;1;5;0,12693861016311
8;1;30;1;10;0,110129166404477
8;1;30;8;1;0,112848630842391
8;1;30;8;5;0,110975880046239
8;1;30;8;10;0,112604647810662
8;1;30;16;1;0,118733131559657
8;1;30;16;5;0,114839075711055
8;1;30;16;10;0,115144676371549
8;1;30;32;1;0,123144708003138
8;1;30;32;5;0,119070117484893
8;1;30;32;10;0,116460883577732
8;1;30;64;1;0,123481630222088
8;1;30;64;5;0,118645446134979
8;1;30;64;10;0,116944332963726
8;2;1;1;1;0,20922846874845
8;2;1;1;5;0,143913343967119
8;2;1;1;10;0,117441235180381
8;2;1;8;1;0,161466742149091
8;2;1;8;5;0,147134751706253
8;2;1;8;10;0,145518350681064
8;2;1;16;1;0,177303417840317
8;2;1;16;5;0,152974127661249
8;2;1;16;10;0,142627697166754
8;2;1;32;1;0,165250717938093
8;2;1;32;5;0,156463082278869
8;2;1;32;10;0,152777565683114
8;2;1;64;1;0,173740925846011
8;2;1;64;5;0,161663464995293
8;2;1;64;10;0,152484483559137
8;2;7;1;1;0,181343025797255
8;2;7;1;5;0,154048745988148
8;2;7;1;10;0,146307021649083
8;2;7;8;1;0,128980939003219
8;2;7;8;5;0,18874115765914
8;2;7;8;10;0,187235884898775
8;2;7;16;1;0,196497543557354
8;2;7;16;5;0,174083010232407
8;2;7;16;10;0,171718427735099
8;2;7;32;1;0,24142465568752
8;2;7;32;5;0,18130397365558
8;2;7;32;10;0,173774553142483
8;2;7;64;1;0,244959558436352
8;2;7;64;5;0,214392122445642
8;2;7;64;10;0,184716709044678
8;2;30;1;1;0,148349457430897
8;2;30;1;5;0,129798760431679
8;2;30;1;10;0,24950481751285
8;2;30;8;1;0,151730434409644
8;2;30;8;5;0,120133520329015
8;2;30;8;10;0,113360957618922
8;2;30;16;1;0,11545927565105
8;2;30;16;5;0,120938208126743
8;2;30;16;10;0,120522211122929
8;2;30;32;1;0,126291872867929
8;2;30;32;5;0,136726896750168
8;2;30;32;10;0,124135943669865
8;2;30;64;1;0,117360658410482
8;2;30;64;5;0,118827714077979
8;2;30;64;10;0,12809027447086
8;3;1;1;1;0,170369513945297
8;3;1;1;5;0,133919812862577
8;3;1;1;10;0,131397003066257
8;3;1;8;1;0,15047729582031
8;3;1;8;5;0,145739103729029
8;3;1;8;10;0,141660878073364
8;3;1;16;1;0,131351634003076
8;3;1;16;5;0,150108309736315
8;3;1;16;10;0,152371141081218
8;3;1;32;1;0,154572812346434
8;3;1;32;5;0,151359595505682
8;3;1;32;10;0,149643929358201
8;3;1;64;1;0,14457659904978
8;3;1;64;5;0,161372422400453
8;3;1;64;10;0,153623727480548
8;3;7;1;1;0,125503304672442
8;3;7;1;5;0,134739744246832
8;3;7;1;10;0,134241689148074
8;3;7;8;1;0,165279963803719
8;3;7;8;5;0,161093714906191
8;3;7;8;10;0,152267518285925
8;3;7;16;1;0,229273612797636
8;3;7;16;5;0,20515231440693
8;3;7;16;10;0,166740144174532
8;3;7;32;1;0,264451804762326
8;3;7;32;5;0,196410138125213
8;3;7;32;10;0,181198531577542
8;3;7;64;1;0,298179512591155
8;3;7;64;5;0,214113727426551
8;3;7;64;10;0,207954328169993
8;3;30;1;1;0,492170206782647
8;3;30;1;5;0,151256413388012
8;3;30;1;10;0,189001003278793
8;3;30;8;1;0,172988530557391
8;3;30;8;5;0,122083602622011
8;3;30;8;10;0,121752888866992
8;3;30;16;1;0,162769805455556
8;3;30;16;5;0,137163298262925
8;3;30;16;10;0,124780274310964
8;3;30;32;1;0,1457249043506
8;3;30;32;5;0,122284950900913
8;3;30;32;10;0,13360635383369
8;3;30;64;1;0,11472917492033
8;3;30;64;5;0,11511009809579
8;3;30;64;10;0,126069796720971
