"c";"k";"type";"kernel";"rmse"
8;1;"eps-regression";"linear";0,107162868016431
8;1;"eps-regression";"polynomial";0,135786080148059
8;1;"eps-regression";"radial";0,106665748745405
8;1;"eps-regression";"sigmoid";11,0606515538741
8;1;"nu-regression";"linear";0,107344070554366
8;1;"nu-regression";"polynomial";0,132973547303161
8;1;"nu-regression";"radial";0,107379591545222
8;1;"nu-regression";"sigmoid";8,19911074199677
8;2;"eps-regression";"linear";0,107531693381344
8;2;"eps-regression";"polynomial";0,140432559992858
8;2;"eps-regression";"radial";0,104969091428559
8;2;"eps-regression";"sigmoid";6,10973311515868
8;2;"nu-regression";"linear";0,107767376087388
8;2;"nu-regression";"polynomial";0,160857215283595
8;2;"nu-regression";"radial";0,103758782625246
8;2;"nu-regression";"sigmoid";4,60867428334893
8;3;"eps-regression";"linear";0,103968315823405
8;3;"eps-regression";"polynomial";0,131515663530954
8;3;"eps-regression";"radial";0,100812072901373
8;3;"eps-regression";"sigmoid";5,07294257546515
8;3;"nu-regression";"linear";0,104772284867968
8;3;"nu-regression";"polynomial";0,143318828606711
8;3;"nu-regression";"radial";0,0994456497767999
8;3;"nu-regression";"sigmoid";3,87120125094219
